competition,event,race,code,date,position,nationality,time,crew
2018 World Rowing Cup I,M2x,Men's Double Sculls - Final,FB,03/06/2018,6,CHN2,06:29.5,"MA, Yule; YANG, Zhenyu"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Final,FC,02/06/2018,1,BLR,06:49.0,"SURAVETS, Dzianis; PAVUKOU, Pilip"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Final,FC,02/06/2018,2,NED2,06:52.3,"OYEN, Michiel; VAN SPRANG, Nicolas"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Final,FC,02/06/2018,3,EST1,06:53.4,"ANDERSON, Sten-Erik; TAIMSOO, Kaspar"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Final,FC,02/06/2018,4,SRB3,06:54.0,"PIVAC, Vukasin; SLAVNIC, Dusan"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Final,FC,02/06/2018,5,MDA,07:01.4,"VISOTCHI-SESTACOV, Chirill; MASNIC, Alexandru"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Final,FC,02/06/2018,6,EST2,07:01.5,"LAOS, Joosep; UDAM, Juri-Mikk"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Final,FD,02/06/2018,1,KOR,06:39.5,"KIM, Jongjin; KIM, Hwigwan"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Final,FD,02/06/2018,2,TPE,06:44.0,"WANG, Ming-Hui; HSU, Wen-Chuan"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Final,FD,02/06/2018,3,BEL,00:00.0,"DE LOOF, Pierre; CLAEYS, Ruben"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R1,01/06/2018,1,NED1,06:30.3,"BROENINK, Stefan; UITTENBOGAARD, Dirk"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R1,01/06/2018,2,CHN1,06:35.0,"CHEN, Sensen; ZHANG, Zhiyuan"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R1,01/06/2018,3,NED2,06:39.0,"OYEN, Michiel; VAN SPRANG, Nicolas"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R1,01/06/2018,4,BEL,06:53.2,"DE LOOF, Pierre; CLAEYS, Ruben"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R2,01/06/2018,1,SRB1,06:34.7,"DJERIC, Igor; BEDIK, Aleksandar"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R2,01/06/2018,2,GRE,06:38.8,"KALENTZIS, Spyridon; STERGIAKAS, Christos"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R2,01/06/2018,3,SRB3,06:42.2,"PIVAC, Vukasin; SLAVNIC, Dusan"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R2,01/06/2018,4,BLR,06:49.4,"SURAVETS, Dzianis; PAVUKOU, Pilip"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R3,01/06/2018,1,LTU2,06:31.5,"DZIAUGYS, Martynas; ADOMAVICIUS, Aurimas"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R3,01/06/2018,2,POL1,06:33.2,"POSNIK, Szymon; WICENCIAK, Adam"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R3,01/06/2018,3,EST1,06:38.2,"ANDERSON, Sten-Erik; TAIMSOO, Kaspar"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R3,01/06/2018,4,TPE,07:04.7,"WANG, Ming-Hui; HSU, Wen-Chuan"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R4,01/06/2018,1,NOR,06:34.8,"BRUN, Kristoffer; STRANDLI, Are"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R4,01/06/2018,2,CHN2,06:39.3,"MA, Yule; YANG, Zhenyu"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R4,01/06/2018,3,MDA,06:44.3,"VISOTCHI-SESTACOV, Chirill; MASNIC, Alexandru"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R4,01/06/2018,4,EST2,06:44.5,"LAOS, Joosep; UDAM, Juri-Mikk"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Repechage,R4,01/06/2018,5,KOR,06:52.4,"KIM, Jongjin; KIM, Hwigwan"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Semifinal,SA/B 1,02/06/2018,1,GBR,06:29.3,"GROOM, Angus; BEAUMONT, Jack"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Semifinal,SA/B 1,02/06/2018,2,GER,06:31.3,"PIONTEK, Timo; HARTIG, Lars"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Semifinal,SA/B 1,02/06/2018,3,NOR,06:33.1,"BRUN, Kristoffer; STRANDLI, Are"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Semifinal,SA/B 1,02/06/2018,4,POL1,06:36.6,"POSNIK, Szymon; WICENCIAK, Adam"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Semifinal,SA/B 1,02/06/2018,5,CHN1,06:40.5,"CHEN, Sensen; ZHANG, Zhiyuan"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Semifinal,SA/B 1,02/06/2018,6,SRB1,06:54.4,"DJERIC, Igor; BEDIK, Aleksandar"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Semifinal,SA/B 2,02/06/2018,1,LTU1,06:28.4,"NEMERAVICIUS, Dovydas; RITTER, Saulius"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Semifinal,SA/B 2,02/06/2018,2,NED1,06:30.0,"BROENINK, Stefan; UITTENBOGAARD, Dirk"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Semifinal,SA/B 2,02/06/2018,3,ROU,06:31.5,"PRUNDEANU, Ioan; ENACHE, Mn-Florian"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Semifinal,SA/B 2,02/06/2018,4,GRE,06:42.4,"KALENTZIS, Spyridon; STERGIAKAS, Christos"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Semifinal,SA/B 2,02/06/2018,5,CHN2,06:46.6,"MA, Yule; YANG, Zhenyu"
2018 World Rowing Cup I,M2x,Men's Double Sculls - Semifinal,SA/B 2,02/06/2018,6,LTU2,07:53.0,"DZIAUGYS, Martynas; ADOMAVICIUS, Aurimas"
2018 World Rowing Cup I,M8+,Men's Eight - Final,FA,03/06/2018,1,GER,05:24.9,"WEISSENFELD, Johannes; WIMBERGER, Felix; PLANER, Maximilian; JOHANNESEN, Torben; SCHNEIDER, Jakob; JAKSCHIK, Malte; SCHMIDT, Richard; OCIK, Hannes; SAUER, Martin"
2018 World Rowing Cup I,M8+,Men's Eight - Final,FA,03/06/2018,2,GBR,05:26.0,"RUDKIN, James; BUGAJSKI, Josh; JEFFERY, Tom; WYNNE-GRIFFITH, Oliver; SBIHI, Mohamed; SINCLAIR, Alan; TARRANT, Matthew; SATCH, William; FIELDMAN, Henry"
2018 World Rowing Cup I,M8+,Men's Eight - Final,FA,03/06/2018,3,ROU,05:31.5,"AICOBOAE, Vlad-Dragos; LEHACI, Florin-Sorin; MATINCA, Alexandru; RADU, Constantin; ADAM, Constantin; BEJAN, Sergiu-Vasile; PIRGHIE, Cristi-Ilie; MACOVEI, Alexandru-Cosmin; MUNTEANU, Adrian"
2018 World Rowing Cup I,M8+,Men's Eight - Final,FA,03/06/2018,4,POL,05:34.6,"ABLEWSKI, Ryszard; MODRZYNSKI, Bartosz; SCHODOWSKI, Zbigniew; WILANGOWSKI, Mateusz; FUCHS, Robert; JUSZCZAK, Piotr; BURDA, Mikolaj; SZPAKOWSKI, Michal; TROJANOWSKI, Daniel"
2018 World Rowing Cup I,M8+,Men's Eight - Final,FA,03/06/2018,5,CHN,05:36.7,"CHEN, Xianheng; YI, Xudi; ZHANG, Liang; LIU, Zhiyu; NI, Xulin; CAI, Pengpeng; CONG, Sheng; WANG, Linqing; LI, Jianxin"
2018 World Rowing Cup I,M8+,Men's Eight - Final,FA,03/06/2018,6,RUS,05:39.0,"KOPYCHKO, Vladislav; YAGANOV, Semen; LOMACHEV, Roman; SALMANOVICH, Evgeny; GOLUBEV, Maksim; BARANOV, Daniil; IVANOV, Ilia; ANDRIENKO, Daniil; SAFONKIN, Pavel"
2018 World Rowing Cup I,M4-,Men's Four - Heat,H1,01/06/2018,1,NED1,06:13.1,"WIETEN, Tone; HENDRIKS, Kaj; TISSEN, Jasper; LUECKEN, Robert"
2018 World Rowing Cup I,M4-,Men's Four - Heat,H1,01/06/2018,2,BLR,06:16.3,"LIALIN, Vadzim; VYBERANETS, Dzmitry; PASHEVICH, Ihar; SHARLAP, Mikalai"
2018 World Rowing Cup I,M4-,Men's Four - Heat,H1,01/06/2018,3,POL,06:21.1,"POSYLAJKA, Lucasz; PAWLOWSKI, Adrian; SOBIERAJ, Marcin; BRZEZINSKI, Marcin"
2018 World Rowing Cup I,M4-,Men's Four - Heat,H1,01/06/2018,4,CAN,06:23.6,"MALOWANY, Aleksander; COPP, Mackenzie; LANGERFELD, Kai; DE GROOT, David"
2018 World Rowing Cup I,M4-,Men's Four - Heat,H1,01/06/2018,5,CRO,06:24.8,"BARICEVIC, Luka; SAIN, Tomislav; PITON, Ivan; UDOVICIC, Karlo"
2018 World Rowing Cup I,M4-,Men's Four - Heat,H2,01/06/2018,1,NED2,06:08.0,"VAN DEN ENDE, Bjorn; ROELL, Boudewijn; KNAB, Ruben; VERSLUIS, Mechiel"
2018 World Rowing Cup I,M4-,Men's Four - Heat,H2,01/06/2018,2,GER,06:10.0,"BRUMMEL, Felix; MERGET, Nico; KLUGE, Peter; SCHMELA, Rene"
2018 World Rowing Cup I,M4-,Men's Four - Heat,H2,01/06/2018,3,NED4,06:25.0,"WULLINGS, Bo; VAN DER BIJ, Jan; VAN DEN HERIK, Lex; RITSEMA, Nelson"
2018 World Rowing Cup I,M4-,Men's Four - Heat,H2,01/06/2018,4,CHN2,06:27.8,"XIONG, Xiong; ZHAO, Chao; ZHOU, Xuewu; LYU, Fanpu"
2018 World Rowing Cup I,M4-,Men's Four - Heat,H2,01/06/2018,5,ESP,06:31.8,"CARAZO TOBAR, Jon; SIGURBJONSSON , Alexander; MONTES, Ismael; VELA MAGGI, Pau"
